Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ,SHY_STK,BIL,TIP,IEI,IEF,TLH,TLT,SHY_BND,Stock_I,Bond_I,Combined_I
2022-09-01,26.18464088439941,137.55999755859375,122.28126525878906,15.360481262207031,55.44384002685547,57.1840934753418,52.31536483764648,50.19862747192383,98.06022644042967,54.9559211730957,91.5011749267578,55.564884185791016,82.28378295898438,23.375905990600582,43.88594436645508,75.96427917480469,36.51723098754883,43.591922760009766,35.72306442260742,102.68350219726562,83.73886108398438,75.59069061279297,81.43116760253906,105.42193603515624,109.71096801757812,92.3733139038086,104.975341796875,100.091552734375,75.59069061279297,1.0,1.0,1.0
2022-09-02,26.193553924560547,136.0399932861328,120.26673126220705,16.0198974609375,55.08186340332031,56.48198318481445,51.86703109741211,49.5378532409668,97.65062713623048,54.75894546508789,90.53709411621094,55.1291618347168,81.2641372680664,22.92274284362793,43.59832763671875,75.06107330322266,36.316009521484375,43.26617813110352,35.32861328125,101.6756591796875,82.5705795288086,75.7563705444336,81.44007873535156,106.04529571533205,110.20652770996094,92.89083862304688,105.54730987548828,100.65777587890624,75.75636291503906,1.002191702455726,1.002191298070838,1.0021915811402597
2022-09-06,26.345115661621094,134.57000732421875,118.62930297851562,15.78715991973877,54.64789962768555,56.46602630615234,51.68070602416992,49.389923095703125,97.55311584472656,53.92181015014648,90.58575439453124,55.24534606933594,80.50188446044922,22.639509201049805,42.9302864074707,75.32727813720703,36.25851058959961,43.151214599609375,34.809574127197266,100.54058837890624,83.31649017333984,75.59069061279297,81.44007873535156,105.0347137451172,109.54264068603516,91.8558578491211,103.52278137207033,98.16461944580078,75.59069061279297,0.9999999999999999,0.9999999999999999,1.0000000000000342
2022-09-07,26.157894134521484,138.66000366210938,121.95377349853516,15.525335311889648,55.779815673828125,57.19686508178711,52.738468170166016,50.770633697509766,99.18174743652344,55.26123809814453,92.2315444946289,55.84568405151367,81.87788391113281,22.941619873046875,43.79317092895508,76.68685150146484,37.0538215637207,43.8889274597168,35.27603530883789,102.14533233642578,84.9430923461914,75.7011489868164,81.44898986816406,105.46916198730467,110.00080108642578,92.45650482177734,104.81195831298828,99.71713256835938,75.70114135742188,1.0014611686139325,1.0014606635199284,1.0014610170857656
2022-09-08,26.21138381958008,140.39999389648438,126.01262664794922,15.612611770629885,56.52975845336914,57.707496643066406,53.60020446777344,51.92451095581055,99.3280258178711,55.67487716674805,92.66976928710938,55.96914291381836,82.3035659790039,23.007707595825195,44.72098922729492,77.93231964111328,37.446685791015625,43.75477981567383,35.34405899047852,103.52989959716795,85.17674255371094,75.6091079711914,81.466796875,104.88358306884766,109.71096801757812,92.11458587646484,104.22183990478516,98.6943130493164,75.6091079711914,1.0002437467847376,1.0002433429896729,1.0002436256462632
2022-09-09,26.02416229248047,144.22000122070312,127.42178344726562,16.339902877807617,58.13763427734375,58.42875289916992,53.83504867553711,52.75293731689453,100.56659698486328,56.78779220581055,94.12077331542967,56.99067306518555,84.31316375732422,23.470319747924805,45.37974166870117,79.50103759765625,37.72456741333008,44.377532958984375,36.51993179321289,106.09845733642578,86.10238647460938,75.54467010498047,81.466796875,104.93082427978516,109.63614654541016,92.12381744384766,104.14012908935548,98.9134750366211,75.54467010498047,0.9993911881550568,0.9993908855484541,0.9993910973731296
2022-09-12,25.890430450439453,145.97999572753906,127.6500473022461,16.640522003173828,58.87558364868164,58.85322570800781,54.40176773071289,53.40384292602539,100.7421417236328,57.25067138671875,94.91931915283205,57.62974548339844,85.47137451171875,23.649696350097656,45.880767822265625,80.04295349121094,37.93537902832031,44.46376037597656,36.99047088623047,106.3626480102539,86.93815612792969,75.53546905517578,81.4579086303711,104.61912536621094,109.5800323486328,91.90202331542967,103.66805267333984,98.1007080078125,75.53547668457031,0.9992694661582063,0.9992694663794053,0.999269466224639
2022-09-13,26.247047424316406,138.22999572753906,121.9041519165039,15.981108665466309,56.12778854370117,57.11388397216797,52.66277313232422,51.58918762207031,96.52911376953124,53.52785110473633,91.17007446289062,55.49226379394531,80.61078643798828,22.60174369812012,44.359134674072266,76.72486877441406,36.977169036865234,43.03623962402344,35.207820892333984,100.03177642822266,83.61305236816406,75.27775573730469,81.47574615478516,104.30748748779295,108.96290588378906,91.38455963134766,103.4501495361328,98.3290023803711,75.27776336669922,0.9958603418732852,0.9958597375448456,0.9958601605748261
2022-09-14,26.193553924560547,139.63999938964844,122.97593688964844,16.5920352935791,56.1557846069336,57.41707611083984,52.11351776123047,51.6680908203125,98.05047607421876,52.92708587646485,90.8292236328125,55.204200744628906,80.99685668945312,22.60174369812012,44.4240837097168,76.52520751953125,36.9005126953125,42.93085861206055,34.990234375,101.11790466308594,82.66046142578125,75.21334075927734,81.47574615478516,104.5719223022461,108.86003875732422,91.43073272705078,103.55911254882812,98.66690826416016,75.21334075927734,0.9950077832436044,0.9950075828945721,0.9950077231390188
2022-09-15,26.21138381958008,138.58999633789062,123.10494232177734,16.175052642822266,54.34592056274414,57.25430679321289,53.02765274047852,51.37222290039063,97.21177673339844,52.83844757080078,89.80670928955078,54.540924072265625,79.13577270507812,22.356279373168945,44.897274017333984,76.29702758789062,37.034664154052734,42.41349792480469,35.1608772277832,99.31747436523438,81.13270568847656,75.1304931640625,81.50244903564453,104.04304504394533,108.58887481689452,91.11654663085938,103.17780303955078,98.60298919677734,75.13050079345703,0.9939120834112598,0.9939117824636805,0.9939119931271057
