Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ,SHY,REBALANCE,UUP_NUL,FDN_NUL,IBB_NUL,IEZ_NUL,IGV_NUL,IHE_NUL,IHF_NUL,IHI_NUL,ITA_NUL,ITB_NUL,IYJ_NUL,IYT_NUL,IYW_NUL,IYZ_NUL,KBE_NUL,KCE_NUL,KIE_NUL,PBJ_NUL,PBS_NUL,SMH_NUL,VNQ_NUL,SHY_NUL,UUP_R,FDN_R,IBB_R,IEZ_R,IGV_R,IHE_R,IHF_R,IHI_R,ITA_R,ITB_R,IYJ_R,IYT_R,IYW_R,IYZ_R,KBE_R,KCE_R,KIE_R,PBJ_R,PBS_R,SMH_R,VNQ_R,SHY_R,ALL_R,I,LADDER_ALL_R,LADDER_I
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2022-09-02,0.00034039191908297184,-0.011049755011906637,-0.016474468588624447,0.04292933228192375,-0.006528707668152611,-0.012278334168308369,-0.008569828556761805,-0.01316311819168059,-0.0041770170774778625,-0.0035843876241932193,-0.010536433768283726,-0.007841686118357782,-0.012391725621459182,-0.01938623053142008,-0.006553819191673416,-0.011889876154865142,-0.005510420021450413,-0.007472503931572616,-0.011042025776687003,-0.00981504327386451,-0.013951394975500686,0.0021917024557260856,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0021917024557260856,0.0021917024557260856,1.002191702455726,0.0021917024557260856,1.002191702455726
2022-09-06,0.00578622272857876,-0.01080554274081913,-0.013615098884125598,-0.014527850801996256,-0.007878523870138432,-0.0002824452000931288,-0.0035924337733049816,-0.002986127191399457,-0.0009988073533907516,-0.015287785320627578,0.0005376309653861711,0.0021076299400668574,-0.00937994005325471,-0.012355845761860995,-0.015322548116250334,0.0035464081830336447,-0.001582979368852322,-0.0026572103435293926,-0.014691429236570408,-0.011163643392518297,0.009033519571655546,-0.0021869094010215084,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0021869094010215084,-0.0021869094010215084,0.9999999999999999,-0.0021869094010215084,0.9999999999999999
2022-09-07,-0.007106498582291287,0.030393075093149147,0.028024155155139008,-0.016584773263807584,0.020712892057229704,0.012943049797226713,0.020467180359419634,0.02795515318167774,0.01669497651464824,0.024840335625565535,0.01816822613780089,0.010866691382001248,0.017092759126057677,0.013344484487839203,0.02009949069288508,0.0180490891795404,0.021934143177772647,0.017095904536064577,0.013400259196534536,0.015961155423835027,0.019523172057145155,0.0014611686139327507,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014611686139327507,0.0014611686139327507,1.0014611686139325,0.0014611686139327507,1.0014611686139325
2022-09-08,0.00204487734308878,0.012548609465026894,0.033281834170945546,0.005621488872965763,0.013444698059353444,0.008927547196790897,0.016339806403901536,0.02272718393029316,0.0014749286362696346,0.0074852960372970845,0.004751437922099644,0.002210646170857755,0.005198893504309021,0.0028806909734164776,0.02118654734730452,0.01624066059792062,0.010602736251106304,-0.003056091592527843,0.0019284337296501253,0.013554875480574768,0.002750847183150329,-0.0012156455660481402,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0012156455660481402,-0.0012156455660481402,1.0002437467847376,-0.0012156455660481402,1.0002437467847376
2022-09-09,-0.007142829075219792,0.027208030557573926,0.011182724034852765,0.046583930985320876,0.028442998306828615,0.01249861677347086,0.004381334215265209,0.015954513239605728,0.012469501598609822,0.01998933047277829,0.0156578749345897,0.018251872583743722,0.02441671263726164,0.02010674920452904,0.014730189069854793,0.020129336587322744,0.007420522236964988,0.014232361704915597,0.033269208311414555,0.024809815804439195,0.010867150686187932,-0.0008523508718962791,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008523508718962791,-0.0008523508718962791,0.9993911881550568,-0.0008523508718962791,0.9993911881550568
2022-09-12,-0.0051386839272935525,0.012203539675073038,0.0017914035978598974,0.018397496013105474,0.012693144131347367,0.007264531135164454,0.010527167589262865,0.012338684338880856,0.001745253392509527,0.00815143736535262,0.008484185957572388,0.011213496330096273,0.013737283723881388,0.007642618283463243,0.011040745875975588,0.006816559774955877,0.005588077904249422,0.0019430423156689969,0.012884446106907088,0.0024900519805901578,0.009706695569544621,-0.00012179614778784487,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012179614778784487,-0.00012179614778784487,0.9992694661582063,-0.00012179614778784487,0.9992694661582063
2022-09-13,0.013774084388423091,-0.05308946586397223,-0.04501293021937025,-0.03962707689881262,-0.046671216397223714,-0.029553828625297207,-0.03196584162032978,-0.033979511403804175,-0.041819847094227036,-0.06502691511497527,-0.03949927921316698,-0.03708990333939399,-0.05686819624017159,-0.04431130557805463,-0.03316478161845393,-0.04145380164115531,-0.02525881062252311,-0.032105180660758514,-0.04819224426951896,-0.05952156796078378,-0.03824677112857933,-0.0034116165862926318,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0034116165862926318,-0.0034116165862926318,0.9958603418732852,-0.0034116165862926318,0.9958603418732852
2022-09-14,-0.002038076850743198,0.010200417461406763,0.008792030101473669,0.038228055000162575,0.000498791489186079,0.005308621171126626,-0.010429742930758823,0.001529082175799834,0.01576097493389117,-0.01122334263706437,-0.0037385425282537854,-0.005191048798910858,0.004789691586527756,0.0,0.0014641635941818887,-0.0026023016796530296,-0.002073175374068592,-0.002448657524066422,-0.006179954359480044,0.010857832117403543,-0.011392940991830747,-0.0008561026017734896,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0008561026017734896,-0.0008561026017734896,0.9950077832436044,-0.0008561026017734896,0.9950077832436044
2022-09-15,0.000680697818665088,-0.007519357321306708,0.001049091918195355,-0.025131152945785495,-0.032229343011725864,-0.002834792607959824,0.017541300225565326,-0.005726097380792328,-0.008554215695619427,-0.0016747967983611334,-0.011257631034049309,-0.01201510560448349,-0.022977701623230318,-0.010860330077476221,0.010651660709004807,-0.0029817616839835637,0.003635490750933945,-0.012050932342947629,0.004876870813564027,-0.017805257178245548,-0.01848221292945451,-0.0011011972476966392,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0011011972476966392,-0.0011011972476966392,0.9939120834112598,-0.0011011972476966392,0.9939120834112598
2022-09-16,0.0,-0.022223839472117923,-0.008786837462378294,-0.03717046908702748,-0.018804043700128337,-0.0027870844941467743,-0.0057463264378712076,-0.015550176614238742,-0.011436429517195368,0.011929004116730813,-0.019193374986035794,-0.04291840000268565,-0.00838102201575286,-0.004645456142414961,-0.009712859079088143,-0.012460996575738292,-0.008797008450607935,-0.004291967087124093,-0.01510716959670999,0.0044827289529520975,0.00011068036357331223,0.0004900733739154894,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0004900733739154894,0.0004900733739154894,0.9943991732593526,0.0004900733739154894,0.9943991732593526
2022-09-19,-0.0006802347843312129,0.005313270237545575,-0.009433887353192616,0.006849277320442049,0.004050415471801516,-0.007154853500454306,-0.0003679906854799908,-0.007995243148259834,0.007002212365668781,0.022472064023907556,0.010613832550743663,0.017297277941412448,0.00870415291355342,-0.002121340250924808,0.0158957742254211,0.010273913304547078,0.013766795811996246,0.01194953356713313,0.005499689522995732,0.006571533779771155,-0.0014397197736654155,-0.0011017697233274282,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0011017697233274282,-0.0011017697233274282,0.9933035743573536,-0.0011017697233274282,0.9933035743573536
2022-09-20,0.00476524881806295,-0.019452352489127134,-0.010262737103141184,-0.025355568574910392,-0.014679535752467832,-0.013286782275802156,-0.008911823146579678,-0.015529622413728683,-0.0013099742286064586,-0.01963633379743923,-0.012690015115160103,-0.018097300124132132,-0.008379022150871718,-0.019557922173055076,-0.007234573187545612,-0.018078925940730017,-0.015778402451871676,-0.006072829501701071,-0.014642152356518667,-0.013836776635814174,-0.024290093182817385,-0.0004904752092064202,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0004904752092064202,-0.0004904752092064202,0.9928163835789152,-0.0004904752092064202,0.9928163835789152
2022-09-21,0.009823742697254945,-0.018490800919639616,-0.02189963173665399,-0.020939033474971946,-0.013760927547633917,-0.017060374703793957,-0.016794895941959487,-0.019968065862209006,-0.009888926894851324,-0.01231132130530821,-0.015845041690350725,-0.01462390682839676,-0.015008246385353807,-0.02298339617880818,-0.01290855072172803,-0.012530425521446897,-0.014717398556338912,-0.0018103308842646326,-0.020716923195631565,-0.008349367734201252,-0.01580080848258192,-0.0008586257372810158,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0008586257372810158,-0.0008586257372810158,0.9919639258795802,-0.0008586257372810158,0.9919639258795802
2022-09-22,0.0013419014653337502,-0.018991728179181044,-0.010007588856749239,-0.005184728458076937,-0.015336700234249934,0.008707174886678937,-0.006046652031795441,-0.016096238389608497,-0.011007042229938868,-0.012279221719291411,-0.017338554393065864,-0.026384040655665242,-0.011011436353637327,-0.01597879895286003,-0.022990999134197332,-0.021105909946284473,-0.015737743110621483,-0.004987663771163997,-0.02774688382303725,-0.02770027901109806,-0.012705132708097922,-0.001841333558128544,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001841333558128544,-0.001841333558128544,0.9901373894144051,-0.001841333558128544,0.9901373894144051
2022-09-23,0.015745316465530346,-0.017104626277101964,-0.012079250632677785,-0.08729647558027309,-0.015185248670891327,-0.013350797620942378,-0.012471100781030864,-0.004555729104089079,-0.025865830181195704,0.0015069271592047517,-0.016154796800744498,-0.023276080717662406,-0.013335262393797787,-0.01714014989281687,-0.017918659630767886,-0.02499996304092511,-0.01653097589956709,-0.018683134850343452,-0.026154677588037467,-0.01429606073870171,-0.013291619102366092,-0.0012295483861234358,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0012295483861234358,-0.0012295483861234358,0.9889199675852102,-0.0012295483861234358,0.9889199675852102
2022-09-26,0.011213739771806397,-0.010520501900951662,-0.015117996116018273,-0.02676390589581723,-0.006183545804036128,-0.007885585975119791,-0.008384024985818472,-0.009382968136145697,-0.015273805051925216,-0.03000708949341735,-0.012759681981435733,-0.01491985779145788,-0.008094856025715469,-0.021298271577787298,-0.01253035176656625,-0.011124762351803597,-0.0195645246783982,-0.0076617362474179496,-0.01903348386122017,-0.011644063981149255,-0.028044100676447248,-0.0022163607348568704,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0022163607348568704,-0.0022163607348568704,0.9867281641991383,-0.0022163607348568704,0.9867281641991383
2022-09-27,0.00032620972696695283,0.007354751181339436,0.012343553054737555,0.015441246793802321,0.007737696766188407,-0.0007090326188032847,-0.0029974637021707995,-0.009261136530080094,-0.005177297043173712,-0.0003887968236568895,-0.0048526148430924065,0.007267576989546276,0.003444476888105452,-0.0014130483591073828,-0.010017733786538363,-0.009054518448066595,0.006464377757835926,-0.009358926705894999,-0.005869468052030813,0.007573716443212364,-0.01331700284692694,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.9867281641991383,0.0,0.9867281641991383
2022-09-28,-0.013042041313492625,0.036822408392927164,0.039278857347194496,0.04634311268702085,0.021570450170610433,0.019633183402602672,0.019522112918958,0.02082003430023205,0.019733352346728017,0.05037932764804531,0.022954322682737338,0.022948216086908335,0.013731425597076852,0.025943398463862843,0.017989682063940027,0.019520663427793572,0.019547337854347813,0.01771367571237259,0.02726419000607727,0.012736745357320833,0.02074501486862168,0.004319208602657332,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004319208602657332,0.004319208602657332,0.9909900489744315,0.004319208602657332,0.9909900489744315
2022-09-29,-0.003964385832585959,-0.02273244339882452,-0.014497563065785757,-0.0006920059129372769,-0.01673709307741067,-0.010497620581634393,-0.009114522430362149,-0.004786785644526281,-0.022753974903855334,-0.0296295861838749,-0.015928470537653894,-0.017535357936124818,-0.02696025984353223,-0.02390809338057276,-0.01656728671429153,-0.02118378008970978,-0.0024651154309214274,-0.017405362760772092,-0.02959126408899415,-0.03149316559226922,-0.02938304983107698,-0.0013517265373291787,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0013517265373291787,-0.0013517265373291787,0.9896505014270036,-0.0013517265373291787,0.9896505014270036
2022-09-30,0.0,-0.011434829894917176,-0.005442180245960326,-0.0027701442589016523,-0.014421296926111271,-0.006271593845053269,-0.01263817127783129,-0.013383294015564373,-0.007833540942598582,-0.0068703402486860465,-0.010160633226611093,-0.020041796020014213,-0.017935918559564334,-0.01648603785825198,-0.005166206566212583,-0.007075638874170842,-0.006864234849016548,-0.007794208524861124,-0.006601638485191019,-0.01479506283494858,0.011225811399842911,-0.0008611685008141912,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0008611685008141912,-0.0008611685008141912,0.9887982455883597,-0.0008611685008141912,0.9887982455883597
2022-10-03,-0.0046434782263165,0.02091585615684033,0.01949378235933996,0.07013889196372114,0.028864949006454088,0.007844886859027289,0.025678074471703338,0.02861370084692605,0.028950446146001285,0.04073784064417407,0.027811057264358174,0.02386037848846856,0.031211628539456582,0.040708919976609304,0.02619110681940784,0.026826740338837585,0.02377650618850713,0.016662724227785697,0.0297469487634634,0.03586854621450808,0.017837144950543893,0.0021946877145462285,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021946877145462285,0.0021946877145462285,0.9909683489501173,0.0021946877145462285,0.9909683489501173
2022-10-04,-0.01366207557128718,0.048735051602913027,0.028597731095488577,0.0408826690054247,0.037614092802904064,0.021127093822045362,0.024157613861690574,0.0323510551298718,0.033145107435905485,0.044867206009650884,0.03541970111099313,0.0403975818352198,0.03528940187942298,0.028531783758489082,0.04532428791222243,0.04653707998379697,0.038887443543693,0.018965159983460378,0.03872140114027367,0.04276189046490719,0.020220753405574277,0.0003691052020102781,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003691052020102781,0.0003691052020102781,0.9913341205227424,0.0003691052020102781,0.9913341205227424
2022-10-05,0.009459445785570564,-0.001331897858473985,0.0017938054527630864,0.04613466997561577,0.003969637569396722,-0.002120629728071921,0.0004098965433105839,0.0031936931243048416,-0.007221155564928972,-0.010072494852875535,-0.0003365485410187219,-0.00969528327536262,0.0028084823692993144,-0.008501110072867468,-0.007787605657205154,-0.00507077515847465,-0.00727846301804036,-0.007582694899232689,-0.010946788492412152,0.009901975349368097,-0.0195797736404566,-0.0009837137443909905,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0009837137443909905,-0.0009837137443909905,0.9903589315231004,-0.0009837137443909905,0.9903589315231004
