Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ,SHY
2022-09-01,26.184640884399414,137.55999755859375,122.28126525878906,15.360481262207031,55.44384002685547,57.1840934753418,52.315364837646484,50.19862747192383,98.06022644042969,54.9559211730957,91.50117492675781,55.564884185791016,82.28378295898438,23.375905990600586,43.88594436645508,75.96427917480469,36.51723098754883,43.591922760009766,35.72306442260742,102.68350219726562,83.73886108398438,75.59069061279297
2022-09-02,26.193553924560547,136.0399932861328,120.26673126220703,16.0198974609375,55.08186340332031,56.48198318481445,51.86703109741211,49.5378532409668,97.65062713623047,54.75894546508789,90.53709411621094,55.1291618347168,81.2641372680664,22.92274284362793,43.59832763671875,75.06107330322266,36.316009521484375,43.266178131103516,35.32861328125,101.6756591796875,82.5705795288086,75.7563705444336
2022-09-06,26.345115661621094,134.57000732421875,118.62930297851562,15.78715991973877,54.64789962768555,56.466026306152344,51.68070602416992,49.389923095703125,97.55311584472656,53.921810150146484,90.58575439453125,55.24534606933594,80.50188446044922,22.639509201049805,42.9302864074707,75.32727813720703,36.25851058959961,43.151214599609375,34.809574127197266,100.54058837890625,83.31649017333984,75.59069061279297
2022-09-07,26.157894134521484,138.66000366210938,121.95377349853516,15.525335311889648,55.779815673828125,57.19686508178711,52.738468170166016,50.770633697509766,99.18174743652344,55.26123809814453,92.2315444946289,55.84568405151367,81.87788391113281,22.941619873046875,43.79317092895508,76.68685150146484,37.0538215637207,43.8889274597168,35.27603530883789,102.14533233642578,84.9430923461914,75.7011489868164
2022-09-08,26.211383819580078,140.39999389648438,126.01262664794922,15.612611770629883,56.52975845336914,57.707496643066406,53.60020446777344,51.92451095581055,99.3280258178711,55.67487716674805,92.66976928710938,55.96914291381836,82.3035659790039,23.007707595825195,44.72098922729492,77.93231964111328,37.446685791015625,43.75477981567383,35.344058990478516,103.52989959716797,85.17674255371094,75.6091079711914
2022-09-09,26.02416229248047,144.22000122070312,127.42178344726562,16.339902877807617,58.13763427734375,58.42875289916992,53.83504867553711,52.75293731689453,100.56659698486328,56.78779220581055,94.12077331542969,56.99067306518555,84.31316375732422,23.470319747924805,45.37974166870117,79.50103759765625,37.72456741333008,44.377532958984375,36.51993179321289,106.09845733642578,86.10238647460938,75.54467010498047
2022-09-12,25.890430450439453,145.97999572753906,127.6500473022461,16.640522003173828,58.87558364868164,58.85322570800781,54.40176773071289,53.40384292602539,100.74214172363281,57.25067138671875,94.91931915283203,57.62974548339844,85.47137451171875,23.649696350097656,45.880767822265625,80.04295349121094,37.93537902832031,44.46376037597656,36.99047088623047,106.3626480102539,86.93815612792969,75.53546905517578
2022-09-13,26.247047424316406,138.22999572753906,121.9041519165039,15.981108665466309,56.12778854370117,57.11388397216797,52.66277313232422,51.58918762207031,96.52911376953125,53.52785110473633,91.17007446289062,55.49226379394531,80.61078643798828,22.601743698120117,44.359134674072266,76.72486877441406,36.977169036865234,43.03623962402344,35.207820892333984,100.03177642822266,83.61305236816406,75.27775573730469
2022-09-14,26.193553924560547,139.63999938964844,122.97593688964844,16.5920352935791,56.155784606933594,57.417076110839844,52.11351776123047,51.6680908203125,98.05047607421875,52.927085876464844,90.8292236328125,55.204200744628906,80.99685668945312,22.601743698120117,44.4240837097168,76.52520751953125,36.9005126953125,42.93085861206055,34.990234375,101.11790466308594,82.66046142578125,75.21334075927734
2022-09-15,26.211383819580078,138.58999633789062,123.10494232177734,16.175052642822266,54.34592056274414,57.25430679321289,53.027652740478516,51.372222900390625,97.21177673339844,52.83844757080078,89.80670928955078,54.540924072265625,79.13577270507812,22.356279373168945,44.897274017333984,76.29702758789062,37.034664154052734,42.41349792480469,35.1608772277832,99.31747436523438,81.13270568847656,75.1304931640625
