Date,UUP,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XRT,SHY
2022-09-01,25.319902420043945,34.66610336303711,34.72880935668945,31.227867126464844,88.0298843383789,65.50635528564453,66.8928451538086,33.87458419799805,119.68316650390625,76.119873046875,59.940574645996094,73.00904083251953
2022-09-02,25.328523635864258,34.63349533081055,35.365718841552734,30.982938766479492,87.17852783203125,64.65467834472656,66.01937866210938,33.51072692871094,117.96544647216797,75.42139434814453,59.40056610107422,73.16908264160156
2022-09-06,25.475078582763672,34.526363372802734,35.03841018676758,30.907583236694336,87.32041931152344,64.22640228271484,65.64632415771484,33.59607696533203,118.07869720458984,75.26617431640625,59.08793258666992,73.00904083251953
2022-09-07,25.294038772583008,35.48128890991211,34.63151168823242,31.519886016845703,88.72041320800781,65.2532958984375,66.82913970947266,34.647216796875,120.00405883789062,77.57504272460938,61.00163269042969,73.11573791503906
2022-09-08,25.345762252807617,35.825992584228516,34.781890869140625,32.075679779052734,88.98529815673828,65.47713470458984,66.65629577636719,34.620262145996094,122.08985137939453,78.29777526855469,60.86901092529297,73.02682495117188
2022-09-09,25.164724349975586,36.3663444519043,35.648780822753906,32.367698669433594,90.13932800292969,66.77169799804688,67.31139373779297,34.759525299072266,123.1657943725586,79.78205871582031,62.53638458251953,72.9646224975586
2022-09-12,25.03540802001953,36.706382751464844,36.303375244140625,32.631465911865234,90.67853546142578,67.84239959716797,67.57522583007812,35.0919303894043,123.98688507080078,80.81037902832031,63.61640167236328,72.95572662353516
2022-09-13,25.3802490234375,35.39743423461914,35.387821197509766,31.41626739501953,87.2636489868164,64.24100494384766,65.31877899169922,34.15757751464844,119.89080047607422,76.64373016357422,59.940574645996094,72.70684051513672
2022-09-14,25.328523635864258,34.96422576904297,36.38740921020508,31.322067260742188,87.09339141845703,64.47460174560547,65.29149627685547,34.43609619140625,119.95687103271484,77.62838745117188,59.845829010009766,72.64459991455078
2022-09-15,25.345762252807617,34.50306701660156,35.44975280761719,31.425691604614258,86.18528747558594,62.99024200439453,64.74557495117188,33.57810592651367,120.62696075439453,77.23065185546875,60.073204040527344,72.56459045410156
2022-09-16,25.345762252807617,33.95806121826172,34.69343566894531,31.143085479736328,84.38796997070312,62.63984680175781,64.90025329589844,33.45233154296875,120.28720092773438,76.60979461669922,59.201622009277344,72.60014343261719
2022-09-19,25.328523635864258,34.52020263671875,34.71400451660156,31.49629783630371,85.53329467773438,63.15064239501953,65.33158111572266,33.9005126953125,119.63906860351562,77.6937255859375,59.947513580322266,72.52013397216797
2022-09-20,25.44921875,33.86437225341797,34.47255325317383,31.03228759765625,84.4687728881836,62.77986145019531,64.97441864013672,33.40755844116211,118.23667907714844,76.37648010253906,58.38524627685547,72.48458099365234
2022-09-21,25.69922637939453,33.12421417236328,33.967315673828125,30.388343811035156,83.34721374511719,61.799232482910156,64.72716522216797,32.95079040527344,116.27522277832031,74.56828308105469,57.74699020385742,72.42235565185547
2022-09-22,25.73371124267578,32.726036071777344,33.84659194946289,29.876981735229492,82.09259796142578,61.16987609863281,64.63558959960938,32.83320617675781,116.8911361694336,72.84757995605469,56.270450592041016,72.28902435302734
2022-09-23,26.138896942138672,32.056148529052734,31.51265525817871,29.40349769592285,80.55280303955078,60.369754791259766,63.53664779663086,32.45332336425781,116.29418182373047,71.17063903808594,55.6131591796875,72.20011901855469
2022-09-26,26.4320125579834,31.536169052124023,30.73914909362793,28.939477920532227,79.70687866210938,59.9501838684082,63.58245086669922,31.670923233032227,115.1855239868164,71.01021575927734,54.74627685546875,72.04012298583984
2022-09-27,26.440631866455078,31.60643196105957,31.083423614501953,28.816373825073242,79.44075775146484,60.02824401855469,62.48351287841797,31.13727569580078,114.83493041992188,71.23383331298828,55.34642028808594,72.04012298583984
