Date,BIL,TIP,IEI,SHY
2022-09-01,78.43717193603516,101.85607147216797,106.19214630126953,73.0090560913086
2022-09-02,78.44578552246094,102.45832061767578,106.6718521118164,73.16909790039062
2022-09-06,78.44578552246094,101.48191833496094,106.02925109863281,73.0090560913086
2022-09-07,78.45433044433594,101.90170288085938,106.47271728515625,73.11570739746094
2022-09-08,78.47151184082031,101.3359375,106.19214630126953,73.0268325805664
2022-09-09,78.47151184082031,101.38156127929688,106.11975860595703,72.96460723876953
2022-09-12,78.46295928955078,101.0804214477539,106.06546783447266,72.95573425292969
2022-09-13,78.48006439208984,100.77930450439453,105.46809387207031,72.7068099975586
2022-09-14,78.48006439208984,101.03480529785156,105.36853790283203,72.64459991455078
2022-09-15,78.50584411621094,100.52377319335938,105.1060791015625,72.56459045410156
2022-09-16,78.50584411621094,100.10401153564453,105.26898956298828,72.60014343261719
2022-09-19,78.50584411621094,99.64775848388672,105.04270935058594,72.5201416015625
2022-09-20,78.49723815917969,99.49263000488281,104.74407958984375,72.48457336425781
2022-09-21,78.5143814086914,99.68426513671875,104.79837799072266,72.42236328125
2022-09-22,78.54871368408203,98.55272674560547,103.94756317138672,72.28902435302734
2022-09-23,78.54871368408203,98.13297271728516,103.77561950683594,72.20010375976562
2022-09-26,78.53157043457031,96.56343078613281,102.87054443359375,72.04012298583984
2022-09-27,78.55728912353516,96.05243682861328,102.58998107910156,72.04012298583984
2022-09-28,78.56587219238281,97.74971008300781,103.99285125732422,72.35123443603516
2022-09-29,78.58303833007812,96.38092041015625,103.67607116699219,72.25346374511719
2022-09-30,78.58303833007812,95.72389221191406,103.43167877197266,72.19123077392578
2022-10-03,78.56153106689453,96.955810546875,104.14044952392578,72.34967803955078
2022-10-04,78.58732604980469,97.33906555175781,104.33987426757812,72.37638092041016
2022-10-05,78.58732604980469,96.57256317138672,103.82324981689453,72.30518341064453
2022-10-06,78.60452270507812,96.2531509399414,103.46977996826172,72.2161636352539
2022-10-07,78.60452270507812,96.28055572509766,103.09814453125,72.12716674804688
2022-10-10,78.61312866210938,95.73302459716797,102.87155151367188,72.10042572021484
2022-10-11,78.61312866210938,96.28055572509766,102.98939514160156,72.13603973388672
2022-10-12,78.61312866210938,96.47217559814453,103.24317932128906,72.20723724365234
2022-10-13,78.63888549804688,96.36267852783203,102.7718734741211,71.99361419677734
2022-10-14,78.63888549804688,96.44480895996094,102.50904846191406,71.95801544189453
2022-10-17,78.63888549804688,96.70943450927734,102.67218780517578,72.03814697265625
2022-10-18,78.63888549804688,96.45393371582031,102.83531188964844,72.07373809814453
2022-10-19,78.63888549804688,95.96115112304688,102.23711395263672,71.94021606445312
2022-10-20,78.67327880859375,95.86990356445312,101.81111907958984,71.86012268066406
2022-10-21,78.68186950683594,96.11630249023438,102.26429748535156,72.04702758789062
2022-10-24,78.67327880859375,96.34442901611328,102.2461929321289,72.02925109863281
2022-10-25,78.67327880859375,96.73680114746094,102.79906463623047,72.10042572021484
2022-10-26,78.69046020507812,96.59080505371094,103.04376220703125,72.16275024414062
