Date,BIL,TIP,IEI,IEF,TLH,TLT,SHY
2022-09-01,81.43116760253906,105.42193603515625,109.71096801757812,92.3733139038086,104.975341796875,100.091552734375,75.59069061279297
2022-09-02,81.44007873535156,106.04529571533203,110.20652770996094,92.89083862304688,105.54730987548828,100.65777587890625,75.75636291503906
2022-09-06,81.44007873535156,105.03471374511719,109.54264068603516,91.8558578491211,103.52278137207031,98.16461944580078,75.59069061279297
2022-09-07,81.44898986816406,105.46916198730469,110.00080108642578,92.45650482177734,104.81195831298828,99.71713256835938,75.70114135742188
2022-09-08,81.466796875,104.88358306884766,109.71096801757812,92.11458587646484,104.22183990478516,98.6943130493164,75.6091079711914
2022-09-09,81.466796875,104.93082427978516,109.63614654541016,92.12381744384766,104.14012908935547,98.9134750366211,75.54467010498047
2022-09-12,81.4579086303711,104.61912536621094,109.58003234863281,91.90202331542969,103.66805267333984,98.1007080078125,75.53547668457031
2022-09-13,81.47574615478516,104.30748748779297,108.96290588378906,91.38455963134766,103.45014953613281,98.3290023803711,75.27776336669922
2022-09-14,81.47574615478516,104.5719223022461,108.86003875732422,91.43073272705078,103.55911254882812,98.66690826416016,75.21334075927734
2022-09-15,81.50244903564453,104.04304504394531,108.58887481689453,91.11654663085938,103.17780303955078,98.60298919677734,75.13050079345703
2022-09-16,81.50244903564453,103.60855865478516,108.7571792602539,91.19046783447266,102.75113677978516,97.78106689453125,75.16732788085938
2022-09-19,81.50244903564453,103.1363296508789,108.52342987060547,90.93170928955078,102.723876953125,98.0093765258789,75.0844955444336
2022-09-20,81.49349212646484,102.97576904296875,108.21485137939453,90.3680191040039,101.8977279663086,97.0322036743164,75.04769134521484
2022-09-21,81.51134490966797,103.17412567138672,108.27096557617188,90.72840881347656,103.03254699707031,98.65776824951172,74.98324584960938
2022-09-22,81.54695892333984,102.0029525756836,107.3919906616211,89.36075592041016,100.73566436767578,96.13723754882812,74.84519958496094
2022-09-23,81.54695892333984,101.56851959228516,107.2143325805664,89.47164916992188,101.07158660888672,96.52991485595703,74.75316619873047
2022-09-26,81.52913665771484,99.94400024414062,106.2792739868164,87.98384094238281,99.21046447753906,94.68516540527344,74.58747100830078
2022-09-27,81.55587005615234,99.41513061523438,105.98942565917969,87.3831558227539,97.2767333984375,92.19200134277344,74.58747100830078
2022-09-28,81.56477355957031,101.17183685302734,107.4387435913086,89.35152435302734,100.11833190917969,95.27877807617188,74.90960693359375
2022-09-29,81.58257293701172,99.7551040649414,107.11148071289062,88.93566131591797,99.63716888427734,94.78565216064453,74.80838775634766
2022-09-30,81.58257293701172,99.07510375976562,106.85900115966797,88.70463562011719,98.910888671875,93.5618667602539,74.74394226074219
2022-10-03,81.56026458740234,100.35013580322266,107.59126281738281,89.75738525390625,100.27456665039062,95.04853057861328,74.90799713134766
2022-10-04,81.58705139160156,100.74681091308594,107.79727935791016,89.94257354736328,100.1107177734375,94.78305053710938,74.9356460571289
2022-10-05,81.58705139160156,99.95346069335938,107.26353454589844,89.09075164794922,99.12754821777344,93.87680053710938,74.86190795898438
2022-10-06,81.6048812866211,99.62289428710938,106.89834594726562,88.60000610351562,98.69059753417969,93.35496520996094,74.76972198486328
2022-10-07,81.6048812866211,99.65122985839844,106.5144271850586,88.16483306884766,97.93500518798828,92.44873046875,74.6775894165039
2022-10-10,81.61381530761719,99.08453369140625,106.28034210205078,87.64632415771484,96.79706573486328,91.01151275634766,74.64993286132812
2022-10-11,81.61381530761719,99.65122985839844,106.40204620361328,87.8685531616211,97.10655975341797,91.414306640625,74.68680572509766
2022-10-12,81.61381530761719,99.84956359863281,106.66426086425781,88.15556335449219,97.46160125732422,91.86284637451172,74.76054382324219
2022-10-13,81.64057922363281,99.7362289428711,106.17731475830078,87.78520965576172,96.84256744384766,90.9840316772461,74.53934478759766
2022-10-14,81.64057922363281,99.82122802734375,105.9057846069336,87.2944564819336,96.22354888916016,90.23336791992188,74.5024642944336
2022-10-17,81.64057922363281,100.0951156616211,106.0743179321289,87.3870620727539,96.01416778564453,89.79398345947266,74.58541107177734
2022-10-18,81.64057922363281,99.8306655883789,106.24288177490234,87.60929107666016,96.57856750488281,90.0045166015625,74.62230682373047
2022-10-19,81.64057922363281,99.32066345214844,105.6248550415039,86.69264221191406,95.0947036743164,88.3659439086914,74.48406219482422
2022-10-20,81.67626953125,99.22622680664062,105.18475341796875,86.04451751708984,93.92035675048828,86.85548400878906,74.4011001586914
2022-10-21,81.68518829345703,99.481201171875,105.65294647216797,86.23896026611328,92.78242492675781,85.29011535644531,74.59465026855469
2022-10-24,81.67626953125,99.71733093261719,105.63419342041016,86.1278305053711,92.2635269165039,84.5852279663086,74.57623291015625
2022-10-25,81.67626953125,100.12345886230469,106.20542907714844,87.20187377929688,94.33003234863281,87.04772186279297,74.64993286132812
2022-10-26,81.69409942626953,99.97234344482422,106.45824432373047,87.64632415771484,95.38601684570312,88.30186462402344,74.71446990966797
2022-10-27,81.72087097167969,100.74681091308594,107.02007293701172,88.26668548583984,96.15071868896484,89.22642517089844,74.87114715576172
2022-10-28,81.71195983886719,100.62403869628906,106.57996368408203,87.81300354003906,95.35871887207031,88.61309051513672,74.76054382324219
2022-10-31,81.71195983886719,100.48236083984375,106.31778717041016,87.41484069824219,94.88533020019531,87.98145294189453,74.64993286132812
2022-11-01,81.71910858154297,100.4634780883789,106.1705322265625,87.39907836914062,95.38633728027344,88.80368041992188,74.57701110839844
2022-11-02,81.74591827392578,100.23680114746094,106.07676696777344,87.25062561035156,95.00306701660156,88.41825866699219,74.54007720947266
2022-11-03,81.77275085449219,99.122314453125,105.73915100097656,86.87017059326172,94.65626525878906,87.9410629272461,74.40157318115234
2022-11-04,81.79061889648438,99.49066162109375,105.82355499267578,86.68457794189453,93.82579040527344,86.46361541748047,74.48467254638672
2022-11-07,81.78168487548828,99.61345672607422,105.60785675048828,86.37837982177734,93.05007934570312,85.60098266601562,74.42005920410156
2022-11-08,81.79061889648438,99.7551040649414,105.98298645019531,86.95368194580078,94.02655792236328,86.53703308105469,74.49391174316406
2022-11-09,81.83535766601562,99.54734802246094,106.31121063232422,87.25062561035156,94.22735595703125,86.82150268554688,74.61395263671875
2022-11-10,81.84428405761719,101.20014953613281,107.83987426757812,89.20848846435547,97.59488677978516,90.1618423461914,75.02015686035156
