Date,SPY,SHY
2022-09-01,382.2073974609375,75.59068298339844
2022-09-02,378.1772155761719,75.7563705444336
2022-09-06,376.75030517578125,75.59068298339844
2022-09-07,383.51861572265625,75.7011489868164
2022-09-08,386.025390625,75.6091079711914
2022-09-09,392.0224304199219,75.5446548461914
2022-09-12,396.2357177734375,75.53546905517578
2022-09-13,379.0063781738281,75.27776336669922
2022-09-14,380.4526672363281,75.21333312988281
2022-09-15,376.1332092285156,75.13050842285156
2022-09-16,373.2637634277344,75.16732025146484
2022-09-19,376.1583557128906,75.08447265625
2022-09-20,371.84063720703125,75.04768371582031
2022-09-21,365.3543395996094,74.9832534790039
2022-09-22,362.2854309082031,74.84516906738281
2022-09-23,356.21539306640625,74.75313568115234
2022-09-26,352.69140625,74.58747100830078
2022-09-27,351.7911376953125,74.58747100830078
2022-09-28,358.71307373046875,74.90958404541016
2022-09-29,351.2199401855469,74.8083724975586
2022-09-30,345.788818359375,74.74394989013672
2022-10-03,354.9180908203125,74.9079818725586
2022-10-04,365.9158020019531,74.9356460571289
2022-10-05,365.0638732910156,74.86190032958984
2022-10-06,361.2979736328125,74.76974487304688
2022-10-07,351.2199401855469,74.67758178710938
2022-10-10,348.5382995605469,74.64994812011719
2022-10-11,346.3310241699219,74.68679809570312
2022-10-12,345.1885986328125,74.76054382324219
2022-10-13,354.29852294921875,74.53933715820312
2022-10-14,346.2245178222656,74.50247192382812
2022-10-17,355.1214294433594,74.58541870117188
2022-10-18,359.2939453125,74.62228393554688
2022-10-19,356.74786376953125,74.48403930664062
2022-10-20,353.75640869140625,74.4011001586914
2022-10-21,362.3531799316406,74.59465026855469
2022-10-24,366.7871398925781,74.57620239257812
2022-10-25,372.6441345214844,74.64994812011719
2022-10-26,369.83660888671875,74.71446228027344
2022-10-27,367.8616943359375,74.87112426757812
2022-10-28,376.6134033203125,74.76054382324219
2022-10-31,373.8930358886719,74.64994812011719
2022-11-01,372.2568664550781,74.57698822021484
2022-11-02,362.9147033691406,74.54009246826172
2022-11-03,359.1777648925781,74.4015884399414
2022-11-04,364.3475036621094,74.48468017578125
2022-11-07,367.8326721191406,74.42005920410156
2022-11-08,369.8172912597656,74.49391174316406
2022-11-09,362.1982727050781,74.61392974853516
2022-11-10,382.1025695800781,75.02015686035156
2022-11-11,385.80078125,75.00169372558594
2022-11-14,382.51885986328125,74.93705749511719
2022-11-15,385.7813720703125,75.01091766357422
2022-11-16,382.83831787109375,75.02015686035156
2022-11-17,381.66693115234375,74.92784118652344
2022-11-18,383.39984130859375,74.8447494506836
2022-11-21,382.00579833984375,74.82628631591797
2022-11-22,387.1463928222656,74.88166809082031
2022-11-23,389.5860595703125,74.94627380371094
2022-11-25,389.4989013671875,74.95553588867188
2022-11-28,383.28369140625,74.97399139404297
2022-11-29,382.6253356933594,74.94627380371094
2022-11-30,394.6782531738281,75.1678695678711
2022-12-01,394.3878479003906,75.32976531982422
2022-12-02,393.9328918457031,75.3112564086914
2022-12-05,386.8463134765625,75.09847259521484
2022-12-06,381.2699890136719,75.18173217773438
2022-12-07,380.62139892578125,75.33900451660156
2022-12-08,383.6031494140625,75.26500701904297
2022-12-09,380.7375183105469,75.22798156738281
2022-12-12,386.22674560546875,75.18173217773438
2022-12-13,389.1504211425781,75.40377807617188
2022-12-14,386.6623840332031,75.41300964355469
2022-12-15,377.2039794921875,75.42322540283203
2022-12-16,372.7506103515625,75.49739074707031
2022-12-19,369.58984375,75.4046630859375
2022-12-20,370.0955505371094,75.4046630859375
2022-12-21,375.6294250488281,75.47884368896484
2022-12-22,370.2706298828125,75.43250274658203
2022-12-23,372.4005432128906,75.39539337158203
2022-12-27,370.93194580078125,75.29342651367188
2022-12-28,366.3220520019531,75.29342651367188
2022-12-29,372.9159851074219,75.34903717041016
2022-12-30,371.93365478515625,75.25630950927734
2023-01-03,370.367919921875,75.32122802734375
2023-01-04,373.2271728515625,75.39539337158203
2023-01-05,368.9674072265625,75.29342651367188
2023-01-06,377.4286193847656,75.5808334350586
2023-01-09,377.214599609375,75.65499114990234
2023-01-10,379.8600158691406,75.59009552001953
2023-01-11,384.6643981933594,75.65499114990234
2023-01-12,386.06488037109375,75.82189178466797
2023-01-13,387.5626525878906,75.69207763671875
2023-01-17,386.8526611328125,75.73845672607422
2023-01-18,380.7450256347656,75.90532684326172
2023-01-19,377.9732666015625,75.88681030273438
2023-01-20,385.0145568847656,75.82189178466797
2023-01-23,389.6341247558594,75.74774169921875
