Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ,SHY
2022-09-01,26.184640884399414,137.55999755859375,122.28125762939453,15.360482215881348,55.44384002685547,57.184104919433594,52.31536865234375,50.19862365722656,98.06024169921875,54.95592498779297,91.50117492675781,55.56488037109375,82.28378295898438,23.37590980529785,43.88594436645508,75.96427917480469,36.51723098754883,43.591922760009766,35.723060607910156,102.68350219726562,83.73886108398438,75.59069061279297
2022-09-02,26.193553924560547,136.0399932861328,120.26673889160156,16.0198974609375,55.08186340332031,56.48197937011719,51.867034912109375,49.5378532409668,97.65064239501953,54.758941650390625,90.53707885742188,55.12915802001953,81.26414489746094,22.922739028930664,43.598323822021484,75.06107330322266,36.31600570678711,43.26618194580078,35.32860565185547,101.6756591796875,82.57058715820312,75.75636291503906
2022-09-06,26.345115661621094,134.57000732421875,118.6292953491211,15.787162780761719,54.64789962768555,56.466026306152344,51.68070602416992,49.38992691040039,97.55310821533203,53.92179870605469,90.58575439453125,55.2453498840332,80.50189208984375,22.639509201049805,42.9302864074707,75.3272705078125,36.25851821899414,43.151214599609375,34.80957794189453,100.54058837890625,83.31649017333984,75.59069061279297
2022-09-07,26.157894134521484,138.66000366210938,121.95378112792969,15.525336265563965,55.779815673828125,57.196868896484375,52.73846435546875,50.7706298828125,99.18175506591797,55.261234283447266,92.23153686523438,55.84568405151367,81.87789154052734,22.941621780395508,43.79316329956055,76.68685913085938,37.05381774902344,43.88892364501953,35.27603530883789,102.14533233642578,84.9430923461914,75.70114135742188
2022-09-08,26.211383819580078,140.39999389648438,126.01262664794922,15.612611770629883,56.52975845336914,57.707496643066406,53.60020065307617,51.924503326416016,99.32804107666016,55.67488098144531,92.66976928710938,55.969139099121094,82.3035659790039,23.007709503173828,44.72098922729492,77.93230438232422,37.44668960571289,43.75479507446289,35.34406280517578,103.52989959716797,85.1767578125,75.60911560058594
2022-09-09,26.024160385131836,144.22000122070312,127.42179107666016,16.339908599853516,58.13763427734375,58.42876052856445,53.83504104614258,52.752933502197266,100.56661224365234,56.787784576416016,94.12078094482422,56.99068069458008,84.31314849853516,23.470319747924805,45.379737854003906,79.50102996826172,37.72456359863281,44.37752914428711,36.51993179321289,106.09845733642578,86.10238647460938,75.54467010498047
2022-09-12,25.890430450439453,145.97999572753906,127.65005493164062,16.640522003173828,58.87558364868164,58.85321807861328,54.401771545410156,53.40383529663086,100.74212646484375,57.25068664550781,94.91931915283203,57.62974548339844,85.47138214111328,23.649694442749023,45.88076400756836,80.04295349121094,37.93537139892578,44.4637565612793,36.99047088623047,106.3626480102539,86.93815612792969,75.53546905517578
2022-09-13,26.247047424316406,138.22999572753906,121.9041519165039,15.981106758117676,56.12778854370117,57.1138801574707,52.66277313232422,51.58919906616211,96.52910614013672,53.52785110473633,91.17007446289062,55.49226379394531,80.61077880859375,22.60174560546875,44.35913848876953,76.72486877441406,36.977169036865234,43.03623962402344,35.20781707763672,100.03177642822266,83.61305236816406,75.27777099609375
2022-09-14,26.193553924560547,139.63999938964844,122.97593688964844,16.59203338623047,56.155784606933594,57.417076110839844,52.1135139465332,51.66808319091797,98.05049896240234,52.92708969116211,90.82923126220703,55.204200744628906,80.99687957763672,22.60174560546875,44.42408752441406,76.52520751953125,36.900508880615234,42.93085861206055,34.990234375,101.11790466308594,82.66045379638672,75.21332550048828
2022-09-15,26.211383819580078,138.58999633789062,123.10494995117188,16.17505645751953,54.34592056274414,57.254310607910156,53.027652740478516,51.37222671508789,97.21175384521484,52.83844757080078,89.80670928955078,54.540916442871094,79.13575744628906,22.35628318786621,44.89727783203125,76.29702758789062,37.03466033935547,42.41350173950195,35.1608772277832,99.31747436523438,81.13270568847656,75.13050079345703
2022-09-16,26.211383819580078,135.50999450683594,122.02324676513672,15.573822021484375,53.323997497558594,57.0947380065918,52.722938537597656,50.57337951660156,96.0999984741211,53.46875762939453,88.08301544189453,52.20010757446289,78.47251892089844,22.25242805480957,44.46119689941406,75.3462905883789,36.708866119384766,42.23146438598633,34.629695892333984,99.76268768310547,81.14168548583984,75.16732025146484
2022-09-19,26.193553924560547,136.22999572753906,120.8720932006836,15.68049144744873,53.539981842041016,56.68623352050781,52.70353698730469,50.16903305053711,96.77291107177734,54.670310974121094,89.01791381835938,53.10302734375,79.15555572509766,22.205223083496094,45.16794204711914,76.12039184570312,37.214229583740234,42.73611068725586,34.82014846801758,100.41828155517578,81.02486419677734,75.08450317382812
2022-09-20,26.31837272644043,133.5800018310547,119.6316146850586,15.282903671264648,52.7540397644043,55.93305587768555,52.23385238647461,49.38992691040039,96.6461410522461,53.59678649902344,87.88827514648438,52.142005920410156,78.4923095703125,21.77093505859375,44.84117126464844,74.74421691894531,36.62704849243164,42.47658157348633,34.310306549072266,99.02881622314453,79.0567626953125,75.04767608642578
2022-09-21,26.57691764831543,131.11000061035156,117.01172637939453,14.962894439697266,52.02809524536133,54.978816986083984,51.356590270996094,48.40370559692383,95.69041442871094,52.93693923950195,86.49568176269531,51.379486083984375,77.31427764892578,21.270565032958984,44.26233673095703,73.8076400756836,36.08799362182617,42.39968490600586,33.59950256347656,98.20198822021484,77.80760192871094,74.98323822021484
2022-09-22,26.612581253051758,128.6199951171875,115.8407211303711,14.885315895080566,51.23015594482422,55.45752716064453,51.04605484008789,47.62458801269531,94.63714599609375,52.28691482543945,84.9959716796875,50.023887634277344,76.46293640136719,20.930686950683594,43.24470138549805,72.24986267089844,35.520050048828125,42.188209533691406,32.66722106933594,95.48176574707031,76.81904602050781,74.84516906738281
2022-09-23,27.031604766845703,126.41999816894531,114.44145202636719,13.585880279541016,50.452213287353516,54.717124938964844,50.409454345703125,47.407623291015625,92.18927764892578,52.36570739746094,83.62287902832031,48.859527587890625,75.44328308105469,20.571931838989258,42.46981430053711,70.44361877441406,34.93286895751953,41.400001525878906,31.812820434570312,94.11675262451172,75.7979965209961,74.75314331054688
2022-09-26,27.33473014831543,125.08999633789062,112.7113265991211,13.222269058227539,50.14023971557617,54.285648345947266,49.986820220947266,46.962799072265625,90.78119659423828,50.79436492919922,82.55587768554688,48.130550384521484,74.83258056640625,20.133785247802734,41.937652587890625,69.65995025634766,34.24942398071289,41.08280563354492,31.207311630249023,93.0208511352539,73.67230987548828,74.58746337890625
2022-09-27,27.343647003173828,126.01000213623047,114.10258483886719,13.426437377929688,50.5282096862793,54.24715805053711,49.83698654174805,46.527870178222656,90.31119537353516,50.77461624145508,82.15526580810547,48.480342864990234,75.09033966064453,20.105335235595703,41.51753234863281,69.02921295166016,34.4708251953125,40.69831466674805,31.024141311645508,93.7253646850586,72.69121551513672,74.58746337890625
2022-09-28,26.987030029296875,130.64999389648438,118.58440399169922,14.048660278320312,51.618125915527344,55.31220245361328,50.80990982055664,47.49658203125,92.09333801269531,53.33260726928711,84.04108428955078,49.59288024902344,76.1214370727539,20.626935958862305,42.26441955566406,70.376708984375,35.14463806152344,41.41923141479492,31.8699893951416,94.91912078857422,74.1991958618164,74.90962219238281
2022-09-29,26.880043029785156,127.68000030517578,116.86521911621094,14.038938522338867,50.754188537597656,54.7315559387207,50.3468017578125,47.26922607421875,89.99784851074219,51.752384185791016,82.70243835449219,48.72325134277344,74.06918334960938,20.133785247802734,41.564212799072266,68.8858642578125,35.05800247192383,40.69831466674805,30.926916122436523,91.92981719970703,72.01899719238281,74.80836486816406
2022-09-30,26.880043029785156,126.22000122070312,116.22921752929688,14.000048637390137,50.022247314453125,54.388301849365234,49.71051025390625,46.6366081237793,89.2928466796875,51.396827697753906,81.86212921142578,47.74674987792969,72.74068450927734,19.80185890197754,41.349483489990234,68.39845275878906,34.81735610961914,40.381103515625,30.722747802734375,90.56970977783203,72.82746887207031,74.74394226074219
