Date,SPY,SHY
2022-09-01,382.2073669433594,75.59066772460938
2022-09-02,378.1772155761719,75.75635528564453
2022-09-06,376.7503662109375,75.59066772460938
2022-09-07,383.5185546875,75.70111846923828
2022-09-08,386.0254211425781,75.60910034179688
2022-09-09,392.0223693847656,75.54467010498047
2022-09-12,396.2357482910156,75.53547668457031
2022-09-13,379.00640869140625,75.27775573730469
2022-09-14,380.4526672363281,75.21331787109375
2022-09-15,376.1332092285156,75.13050079345703
2022-09-16,373.26373291015625,75.16732788085938
2022-09-19,376.1584167480469,75.08448791503906
2022-09-20,371.8406066894531,75.04765319824219
2022-09-21,365.35430908203125,74.98324584960938
2022-09-22,362.2854309082031,74.84519958496094
2022-09-23,356.21533203125,74.75314331054688
2022-09-26,352.6914367675781,74.58748626708984
2022-09-27,351.7911682128906,74.58748626708984
2022-09-28,358.7131042480469,74.90962219238281
2022-09-29,351.21990966796875,74.80834197998047
2022-09-30,345.7888488769531,74.74394226074219
2022-10-03,354.9181213378906,74.90797424316406
2022-10-04,365.9158020019531,74.93563842773438
2022-10-05,365.0638732910156,74.86190795898438
2022-10-06,361.2980041503906,74.76972961425781
2022-10-07,351.21990966796875,74.6775894165039
2022-10-10,348.53826904296875,74.64993286132812
2022-10-11,346.33099365234375,74.68679809570312
2022-10-12,345.1886291503906,74.76052856445312
2022-10-13,354.2984924316406,74.53934478759766
2022-10-14,346.2244873046875,74.50247192382812
2022-10-17,355.1214599609375,74.58543395996094
2022-10-18,359.29400634765625,74.6222915649414
2022-10-19,356.7478332519531,74.48404693603516
2022-10-20,353.7563781738281,74.401123046875
2022-10-21,362.3531799316406,74.59465789794922
2022-10-24,366.7871398925781,74.57620239257812
2022-10-25,372.6441650390625,74.64993286132812
2022-10-26,369.83660888671875,74.7144546508789
2022-10-27,367.8616943359375,74.8711166381836
2022-10-28,376.6133728027344,74.76052856445312
2022-10-31,373.89300537109375,74.64993286132812
2022-11-01,372.2568664550781,74.57703399658203
2022-11-02,362.9146423339844,74.54009246826172
2022-11-03,359.1778259277344,74.4015884399414
2022-11-04,364.3475036621094,74.48468780517578
2022-11-07,367.8326416015625,74.42007446289062
2022-11-08,369.8172607421875,74.49391174316406
2022-11-09,362.1982727050781,74.61392974853516
2022-11-10,382.1026306152344,75.02014923095703
2022-11-11,385.8007507324219,75.00167846679688
2022-11-14,382.51885986328125,74.93705749511719
2022-11-15,385.7814636230469,75.01090240478516
2022-11-16,382.83837890625,75.02014923095703
2022-11-17,381.66693115234375,74.92784118652344
2022-11-18,383.3998718261719,74.84473419189453
2022-11-21,382.0057373046875,74.82628631591797
2022-11-22,387.14642333984375,74.88167572021484
2022-11-23,389.5860900878906,74.9462890625
2022-11-25,389.49896240234375,74.95555114746094
2022-11-28,383.28363037109375,74.97399139404297
2022-11-29,382.6253662109375,74.9462890625
2022-11-30,394.6782531738281,75.16787719726562
2022-12-01,394.3878479003906,75.32975769042969
2022-12-02,393.9328918457031,75.311279296875
2022-12-05,386.8463134765625,75.0985107421875
2022-12-06,381.27001953125,75.18174743652344
2022-12-07,380.6213684082031,75.3389892578125
2022-12-08,383.60321044921875,75.26498413085938
2022-12-09,380.737548828125,75.22801208496094
2022-12-12,386.22674560546875,75.18174743652344
2022-12-13,389.1504211425781,75.40377807617188
2022-12-14,386.662353515625,75.41301727294922
2022-12-15,377.2039489746094,75.42323303222656
2022-12-16,372.7506408691406,75.49737548828125
2022-12-19,369.58984375,75.4046630859375
2022-12-20,370.0955505371094,75.4046630859375
2022-12-21,375.62939453125,75.47883605957031
2022-12-22,370.2706298828125,75.4324722290039
2022-12-23,372.4005432128906,75.39540100097656
2022-12-27,370.9319152832031,75.29341125488281
2022-12-28,366.3220520019531,75.29341125488281
2022-12-29,372.9159851074219,75.34904479980469
2022-12-30,371.9336242675781,75.25631713867188
2023-01-03,370.367919921875,75.32122039794922
2023-01-04,373.2271728515625,75.39540100097656
2023-01-05,368.9674377441406,75.29341125488281
2023-01-06,377.4286193847656,75.580810546875
2023-01-09,377.2146301269531,75.65499877929688
2023-01-10,379.8600158691406,75.5901107788086
2023-01-11,384.6643981933594,75.65499877929688
2023-01-12,386.06488037109375,75.82188415527344
2023-01-13,387.5626525878906,75.69209289550781
2023-01-17,386.8526611328125,75.73843383789062
2023-01-18,380.7450256347656,75.90533447265625
2023-01-19,377.9732666015625,75.88680267333984
2023-01-20,385.0145263671875,75.82188415527344
2023-01-23,389.6341857910156,75.74772644042969
2023-01-24,389.21600341796875,75.7755355834961
2023-01-25,389.36187744140625,75.82188415527344
2023-01-26,393.6410827636719,75.7755355834961
2023-01-27,394.5455627441406,75.7755355834961
2023-01-30,389.5953063964844,75.70134735107422
2023-01-31,395.3236389160156,75.84044647216797
2023-02-01,399.5250244140625,75.97232818603516
2023-02-02,405.3409423828125,75.98162841796875
2023-02-03,401.032470703125,75.70296478271484
2023-02-06,398.5816650390625,75.48931121826172
2023-02-07,403.7945556640625,75.52648162841797
2023-02-08,399.379150390625,75.55432891845703
2023-02-09,395.9168701171875,75.49860382080078
2023-02-10,396.8407897949219,75.46143341064453
2023-02-13,401.49932861328125,75.48003387451172
2023-02-14,401.3145751953125,75.32209777832031
2023-02-15,402.6177978515625,75.3313980102539
2023-02-16,397.0741882324219,75.34070587158203
2023-02-17,396.08221435546875,75.40572357177734
2023-02-21,388.1364440917969,75.257080078125
2023-02-22,387.6015625,75.29424285888672
2023-02-23,389.6633605957031,75.34070587158203
2023-02-24,385.5008239746094,75.18278503417969
2023-02-27,386.81378173828125,75.24781036376953
2023-02-28,385.38409423828125,75.22923278808594
2023-03-01,383.90582275390625,75.09146881103516
2023-03-02,386.89154052734375,75.1194076538086
2023-03-03,393.0964660644531,75.16594696044922
2023-03-06,393.3687744140625,75.12871551513672
2023-03-07,387.33892822265625,74.97049713134766
2023-03-08,387.9710998535156,74.93325805664062
2023-03-09,380.8131103515625,75.17526245117188
2023-03-10,375.31817626953125,75.58477783203125
2023-03-13,374.7832336425781,76.33866119384766
2023-03-14,380.97845458984375,76.0501480102539
2023-03-15,378.595703125,76.49688720703125
2023-03-16,385.23822021484375,76.18973541259766
2023-03-17,380.7337646484375,76.57134246826172
2023-03-20,384.39471435546875,76.47826385498047
2023-03-21,389.4420166015625,76.18973541259766
2023-03-22,382.80340576171875,76.54342651367188
2023-03-23,383.8382873535156,76.7668228149414
2023-03-24,386.3570556640625,76.80402374267578
2023-03-27,387.0794677734375,76.47826385498047
2023-03-28,386.2105712890625,76.39451599121094
2023-03-29,391.8241271972656,76.36658477783203
2023-03-30,394.11834716796875,76.37589263916016
2023-03-31,399.6733093261719,76.46895599365234
2023-04-03,401.1963195800781,76.56224822998047
2023-04-04,398.9703674316406,76.73946380615234
2023-04-05,397.9258117675781,76.8420639038086
2023-04-06,399.47802734375,76.81407928466797
2023-04-10,399.8880615234375,76.54358673095703
2023-04-11,399.9954528808594,76.53425598144531
2023-04-12,398.3651123046875,76.61820220947266
2023-04-13,403.6564636230469,76.66484832763672
2023-04-14,402.6704406738281,76.48760223388672
2023-04-17,404.1152648925781,76.37568664550781
2023-04-18,404.37890625,76.35701751708984
2023-04-19,404.31060791015625,76.29174041748047
2023-04-20,402.10418701171875,76.47828674316406
2023-04-21,402.41656494140625,76.43165588378906
2023-04-24,402.83642578125,76.5156021118164
2023-04-25,396.44183349609375,76.81407928466797
2023-04-26,394.7626953125,76.7208251953125
2023-04-27,402.62164306640625,76.57158660888672
2023-04-28,406.0580139160156,76.65552520751953
2023-05-01,405.64801025390625,76.4881591796875
2023-05-02,401.08892822265625,76.7406005859375
2023-05-03,398.3358154296875,76.92758178710938
2023-05-04,395.5143737792969,77.04912567138672
2023-05-05,402.83642578125,76.86213684082031
2023-05-08,402.94378662109375,76.7406005859375
2023-05-09,401.1767272949219,76.7219009399414
2023-05-10,403.05120849609375,76.90888214111328
2023-05-11,402.3482971191406,76.95564270019531
2023-05-12,401.8210754394531,76.82474517822266
2023-05-15,403.2073974609375,76.83412170410156
2023-05-16,400.5129089355469,76.7406005859375
2023-05-17,405.3747253417969,76.65646362304688
2023-05-18,409.2797546386719,76.51618957519531
2023-05-19,408.6842041015625,76.46011352539062
2023-05-22,408.8501892089844,76.43207550048828
2023-05-23,404.2617492675781,76.42272186279297
2023-05-24,401.33294677734375,76.32921600341797
2023-05-25,404.8084716796875,76.16092681884766
2023-05-26,410.0509948730469,76.14224243164062
2023-05-30,410.2071533203125,76.29182434082031
2023-05-31,407.9325256347656,76.36661529541016
2023-06-01,411.80828857421875,76.48563385009766
2023-06-02,417.7635192871094,76.27009582519531
2023-06-05,416.96295166015625,76.288818359375
2023-06-06,417.8708801269531,76.25135040283203
2023-06-07,416.42596435546875,76.19512176513672
2023-06-08,418.9447937011719,76.31693267822266
2023-06-09,419.6965026855469,76.17635345458984
2023-06-12,423.5039367675781,76.2419662475586
2023-06-13,426.2960205078125,76.10138702392578
2023-06-14,426.8036804199219,76.05451202392578
2023-06-15,432.0950927734375,76.2138442993164
2023-06-16,430.623291015625,76.11076354980469
2023-06-20,428.38909912109375,76.13887023925781
2023-06-21,426.1941833496094,76.13887023925781
2023-06-22,427.73260498046875,76.05451202392578
2023-06-23,424.4989318847656,76.1201400756836
2023-06-26,422.76458740234375,76.17635345458984
2023-06-27,427.3994140625,76.06389617919922
2023-06-28,427.6150207519531,76.14825439453125
2023-06-29,429.3004150390625,75.9608154296875
2023-06-30,434.366455078125,75.98893737792969
2023-07-03,434.8662109375,75.90060424804688
2023-07-05,434.2194519042969,75.8818130493164
