Date,BIL,TIP,IEI
2022-09-01,78.43719482421875,101.8560791015625,106.19216918945312
2022-09-02,78.44576263427734,102.45833587646484,106.67185974121094
2022-09-06,78.44576263427734,101.48191833496094,106.02923583984375
2022-09-07,78.454345703125,101.90170288085938,106.47272491455078
2022-09-08,78.47151184082031,101.33592987060547,106.19216918945312
2022-09-09,78.47151184082031,101.38154602050781,106.11976623535156
2022-09-12,78.46292114257812,101.08040618896484,106.06547546386719
2022-09-13,78.48007202148438,100.7792739868164,105.46808624267578
2022-09-14,78.48007202148438,101.03478240966797,105.3685302734375
2022-09-15,78.50582885742188,100.5237808227539,105.10609436035156
2022-09-16,78.50582885742188,100.1040267944336,105.26898956298828
2022-09-19,78.50582885742188,99.64776611328125,105.04273223876953
2022-09-20,78.49724578857422,99.4926528930664,104.7440414428711
2022-09-21,78.514404296875,99.68426513671875,104.79833221435547
2022-09-22,78.5487060546875,98.552734375,103.94760131835938
2022-09-23,78.5487060546875,98.13296508789062,103.77562713623047
2022-09-26,78.53155517578125,96.56342315673828,102.87055206298828
2022-09-27,78.55729675292969,96.05240631103516,102.5899658203125
2022-09-28,78.56586456298828,97.74971008300781,103.99283599853516
2022-09-29,78.5830307006836,96.38090515136719,103.67607116699219
2022-09-30,78.5830307006836,95.72390747070312,103.43170166015625
2022-10-03,78.56155395507812,96.955810546875,104.14046478271484
2022-10-04,78.58732604980469,97.33905792236328,104.33988189697266
2022-10-05,78.58732604980469,96.5725326538086,103.82323455810547
2022-10-06,78.60452270507812,96.253173828125,103.46975708007812
2022-10-07,78.60452270507812,96.280517578125,103.09817504882812
2022-10-10,78.61309814453125,95.73303985595703,102.87156677246094
2022-10-11,78.61309814453125,96.280517578125,102.98941040039062
2022-10-12,78.61309814453125,96.47217559814453,103.24317169189453
2022-10-13,78.63888549804688,96.36267852783203,102.77188110351562
2022-10-14,78.63888549804688,96.4448013305664,102.5090103149414
2022-10-17,78.63888549804688,96.70941925048828,102.67213439941406
2022-10-18,78.63888549804688,96.45391845703125,102.83531188964844
2022-10-19,78.63888549804688,95.96116638183594,102.23712921142578
2022-10-20,78.67325592041016,95.86988830566406,101.81112670898438
2022-10-21,78.68184661865234,96.11629486083984,102.26432037353516
2022-10-24,78.67325592041016,96.34444427490234,102.24622344970703
2022-10-25,78.67325592041016,96.73680114746094,102.7990493774414
2022-10-26,78.69044494628906,96.59078216552734,103.04377746582031
2022-10-27,78.71621704101562,97.33905792236328,103.58759307861328
2022-10-28,78.70764923095703,97.22042846679688,103.16158294677734
2022-10-31,78.70764923095703,97.08356475830078,102.90780639648438
2022-11-01,78.71452331542969,97.06529235839844,102.76531982421875
2022-11-02,78.74038696289062,96.8462905883789,102.67452239990234
2022-11-03,78.76619720458984,95.76952362060547,102.34774017333984
2022-11-04,78.78345489501953,96.12540435791016,102.429443359375
2022-11-07,78.77479553222656,96.24404907226562,102.22068786621094
2022-11-08,78.78345489501953,96.38090515136719,102.58372497558594
2022-11-09,78.82647705078125,96.1801528930664,102.90147399902344
2022-11-10,78.83511352539062,97.77710723876953,104.38107299804688
2022-11-11,78.82647705078125,97.72233581542969,104.25401306152344
2022-11-14,78.82647705078125,97.00144958496094,104.09058380126953
2022-11-15,78.8437271118164,97.6310806274414,104.55355834960938
2022-11-16,78.85232543945312,97.87747955322266,104.87127685546875
2022-11-17,78.878173828125,97.21134185791016,104.45369720458984
2022-11-18,78.878173828125,96.71855163574219,104.18138885498047
2022-11-21,78.88677978515625,97.22956848144531,104.14509582519531
2022-11-22,78.90401458740234,97.62196350097656,104.33570098876953
